"ISO2","ISO_3","country_agg","region_agg","date","count","cli","cli_weight","cliWHO","cliWHO_weight","cli_local","count_local","weight","count_7days","cli_7days","cli_weight_7days","cliWHO_7days","cliWHO_weight_7days","cli_local_7days","count_local_7days","weight_7days","p_cli","p_cli_weight","p_cliWHO","p_cliWHO_weight","p_cli_local","p_cli_7days","p_cliWHO_7days","p_cli_local_7days","p_cli_smooth","p_cli_weight_smooth","p_cliWHO_smooth","p_cliWHO_weight_smooth","p_cli_local_smooth","slope_cli_smooth_7days","slope_cliWHO_smooth_7days","slope_cli_weight_smooth_7days","slope_cliWHO_weight_smooth_7days","slope_cli_local_smooth_7days"
"IN","IND","India","Maharashtra",2020-12-23,315,3,304878.466191486,0,0,52,309,33160360.2366407,NA,NA,NA,NA,NA,NA,NA,NA,0.00952380952380952,0.00919406375611713,0,0,0.00237020830484525,NA,NA,NA,0.00440397799034644,0.00479222333277058,0.00161936692256593,0.00212261487603331,0.00190159254222268,NA,NA,NA,NA,NA
"IN","IND","India","NCT of Delhi",2020-12-23,344,2,224445.674825665,1,215432.425748086,75,323,10765792.2136567,NA,NA,NA,NA,NA,NA,NA,NA,0.00581395348837209,0.020848040754581,0.00290697674418605,0.0200108288802755,0.00327039637204029,NA,NA,NA,0.00371489631642695,0.00408150392329798,0.000732841942665382,0.00208182262610022,0.00271071554605072,NA,NA,NA,NA,NA
"IN","IND","India","Odisha",2020-12-23,122,0,0,0,0,11,113,13307265.7271295,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.001371058207653,NA,NA,NA,0.00484317896325289,0.00352053746612312,0.00122594552906034,0.00116413500303692,0.00210962553103777,NA,NA,NA,NA,NA
"IN","IND","India","Punjab",2020-12-23,107,0,0,0,0,9,102,8501867.73577447,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00124275062137531,NA,NA,NA,0.00721227815380114,0.00680960393272525,0.00440421357464342,0.00322679271787828,0.00239059164239938,NA,NA,NA,NA,NA
"IN","IND","India","Rajasthan",2020-12-23,177,1,156646.70358259,1,156646.70358259,28,167,21166009.198927,NA,NA,NA,NA,NA,NA,NA,NA,0.00564971751412429,0.00740086154694344,0.00564971751412429,0.00740086154694344,0.00236147423462933,NA,NA,NA,0.00567443950670295,0.00513008386085425,0.0025509170546014,0.00256375476441585,0.00214746405017517,NA,NA,NA,NA,NA
"IN","IND","India","Tamil Nadu",2020-12-23,283,2,248307.109707604,1,74992.6936258369,38,270,22205353.5622304,NA,NA,NA,NA,NA,NA,NA,NA,0.00706713780918728,0.0111823083118999,0.00353356890459364,0.00337723483734093,0.00198226395409494,NA,NA,NA,0.0026255432296595,0.00283333386189853,0.000523238651577432,0.000385983520964482,0.00200566531654614,NA,NA,NA,NA,NA
"IN","IND","India","Telangana",2020-12-23,282,0,0,0,0,31,272,14597995.0155134,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00160521955260978,NA,NA,NA,0.00512252696648717,0.00372162747013611,0.00140663228450397,0.000796352490376798,0.00257550801190635,NA,NA,NA,NA,NA
"IN","IND","India","Uttar Pradesh",2020-12-23,330,1,151646.156093384,0,0,57,316,43993047.5802368,NA,NA,NA,NA,NA,NA,NA,NA,0.00303030303030303,0.00344704821407982,0,0,0.0025405598145837,NA,NA,NA,0.00923702852249369,0.0119743212449571,0.00183978896627797,0.00159009288159142,0.00179619546316892,NA,NA,NA,NA,NA
"IN","IND","India","Uttarakhand",2020-12-23,100,0,0,0,0,7,94,6456182.70565975,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00104884626910399,NA,NA,NA,0.00532514250478113,0.0050897976503604,0.0018709503159666,0.000912645150852733,0.00226194779733518,NA,NA,NA,NA,NA
"IN","IND","India","West Bengal",2020-12-23,250,0,0,0,0,71,236,22582211.995453,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00423728813559322,NA,NA,NA,0.00823299746513453,0.00704848785017084,0.00121200344270993,0.000949761118159484,0.00309936226952036,NA,NA,NA,NA,NA
"IN","IND","India","Andhra Pradesh",2020-12-24,283,1,26541.8727221978,0,0,26,270,23881571.7725446,NA,NA,NA,NA,NA,NA,NA,NA,0.00353356890459364,0.0011113955553257,0,0,0.00135628586332812,NA,NA,NA,0.00223495288085356,0.00196300186710476,2.99505471282255e-06,5.77381961571234e-06,0.00222142431393124,NA,NA,NA,NA,NA
"IN","IND","India","Assam",2020-12-24,100,0,0,0,0,6,93,10368192.311163,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.000908677873693776,NA,NA,NA,0.00426758016716267,0.0024100310859381,0.00162939411834657,0.00112115871106163,0.00186643808719825,NA,NA,NA,NA,NA
"IN","IND","India","Bihar",2020-12-24,219,3,435970.891930464,0,0,39,205,27190093.1512791,NA,NA,NA,NA,NA,NA,NA,NA,0.0136986301369863,0.0160341816228737,0,0,0.00267949158364823,NA,NA,NA,0.0100564421152693,0.0107336575854049,0.0025853682602322,0.00251190101422128,0.00209139999904027,NA,NA,NA,NA,NA
