"country","region","date","Confirmed","Deaths","Recovered","Active","ISO2","ISO3"
"India","Lakshadweep",2021-01-09,0,0,0,0,"IN","IND"
"India","Madhya Pradesh",2021-01-09,247977,3701,236247,8029,"IN","IND"
"India","Maharashtra",2021-01-09,1965556,50027,1861400,54129,"IN","IND"
"India","Manipur",2021-01-09,28646,365,27766,515,"IN","IND"
"India","Meghalaya",2021-01-09,13592,143,13286,163,"IN","IND"
"India","Mizoram",2021-01-09,4292,8,4186,98,"IN","IND"
"India","Nagaland",2021-01-09,11975,84,11778,113,"IN","IND"
"India","Odisha",2021-01-09,331602,1891,327803,1908,"IN","IND"
"India","Puducherry",2021-01-09,38425,636,37461,328,"IN","IND"
"India","Punjab",2021-01-09,168734,5439,160343,2952,"IN","IND"
"India","Rajasthan",2021-01-09,312521,2731,303060,6730,"IN","IND"
"India","Sikkim",2021-01-09,5984,129,5486,369,"IN","IND"
"India","Tamil Nadu",2021-01-09,825537,12215,806018,7304,"IN","IND"
"India","Telangana",2021-01-09,289784,1565,283463,4756,"IN","IND"
"India","Tripura",2021-01-09,33307,388,32862,57,"IN","IND"
"India","Andaman and Nicobar Islands",2021-01-10,4960,62,4875,23,"IN","IND"
"India","Andhra Pradesh",2021-01-10,884916,7129,875243,2544,"IN","IND"
"India","Arunachal Pradesh",2021-01-10,16772,56,16650,66,"IN","IND"
"India","Assam",2021-01-10,216590,1061,212515,3014,"IN","IND"
"India","Bihar",2021-01-10,255700,1434,250088,4178,"IN","IND"
"India","Chandigarh",2021-01-10,20295,327,19727,241,"IN","IND"
"India","Chhattisgarh",2021-01-10,289231,3490,276774,8967,"IN","IND"
"India","Dadra and Nagar Haveli and Daman and Diu",2021-01-10,3380,2,3376,2,"IN","IND"
"India","Delhi",2021-01-10,630200,10678,616054,3468,"IN","IND"
"India","Goa",2021-01-10,51856,747,50277,832,"IN","IND"
"India","Gujarat",2021-01-10,251944,4344,239771,7829,"IN","IND"
"India","Haryana",2021-01-10,264955,2950,259495,2510,"IN","IND"
"India","Himachal Pradesh",2021-01-10,56452,959,54522,971,"IN","IND"
"India","Jammu and Kashmir",2021-01-10,122538,1910,118617,2011,"IN","IND"
"India","Jharkhand",2021-01-10,116817,1047,114302,1468,"IN","IND"
"India","Karnataka",2021-01-10,927559,12140,905751,9668,"IN","IND"
"India","Kerala",2021-01-10,811148,3302,743467,64379,"IN","IND"
"India","Ladakh",2021-01-10,9618,127,9294,197,"IN","IND"
"India","Lakshadweep",2021-01-10,0,0,0,0,"IN","IND"
"India","Madhya Pradesh",2021-01-10,248597,3711,237063,7823,"IN","IND"
"India","Maharashtra",2021-01-10,1969114,50061,1863702,55351,"IN","IND"
"India","Manipur",2021-01-10,28660,365,27805,490,"IN","IND"
"India","Meghalaya",2021-01-10,13611,143,13313,155,"IN","IND"
"India","Mizoram",2021-01-10,4293,9,4192,92,"IN","IND"
"India","Nagaland",2021-01-10,11978,84,11778,116,"IN","IND"
"India","Odisha",2021-01-10,331862,1891,328043,1928,"IN","IND"
"India","Puducherry",2021-01-10,38455,638,37501,316,"IN","IND"
"India","Punjab",2021-01-10,169033,5445,160655,2933,"IN","IND"
"India","Rajasthan",2021-01-10,312996,2734,303536,6726,"IN","IND"
